wavenumber,absorbance,file_name,catalog_number
760,0.15070220005006124,mckittrick_tar,tar
761,0.14991243826990247,mckittrick_tar,tar
762,0.1476448892962547,mckittrick_tar,tar
763,0.14449703052709723,mckittrick_tar,tar
764,0.14105452977950067,mckittrick_tar,tar
765,0.13761098660736643,mckittrick_tar,tar
766,0.134156938890382,mckittrick_tar,tar
767,0.13059738753864097,mckittrick_tar,tar
768,0.1270460151143898,mckittrick_tar,tar
769,0.12387313579174558,mckittrick_tar,tar
770,0.12137340166079852,mckittrick_tar,tar
771,0.11944308445193214,mckittrick_tar,tar
772,0.1177346265691091,mckittrick_tar,tar
773,0.11612377199800811,mckittrick_tar,tar
774,0.11487327896739247,mckittrick_tar,tar
775,0.11430637933006199,mckittrick_tar,tar
776,0.11443327051630264,mckittrick_tar,tar
777,0.11488818069831502,mckittrick_tar,tar
778,0.11511641200072537,mckittrick_tar,tar
779,0.11469498592945232,mckittrick_tar,tar
780,0.11368463331505002,mckittrick_tar,tar
781,0.11272931173081507,mckittrick_tar,tar
782,0.11266904601872058,mckittrick_tar,tar
783,0.1138770056541048,mckittrick_tar,tar
784,0.11588807288712727,mckittrick_tar,tar
785,0.11767685318520055,mckittrick_tar,tar
786,0.11835506476563423,mckittrick_tar,tar
787,0.11772698542328014,mckittrick_tar,tar
788,0.11632432599911585,mckittrick_tar,tar
789,0.11495896298092162,mckittrick_tar,tar
790,0.11416776021283431,mckittrick_tar,tar
791,0.11398307274631786,mckittrick_tar,tar
792,0.11412984447175895,mckittrick_tar,tar
793,0.11432281437705577,mckittrick_tar,tar
794,0.11436748620938547,mckittrick_tar,tar
795,0.1141531699634763,mckittrick_tar,tar
796,0.11371969643706487,mckittrick_tar,tar
797,0.11329019695535475,mckittrick_tar,tar
798,0.11306992979699998,mckittrick_tar,tar
799,0.11297968025384802,mckittrick_tar,tar
800,0.11272925881517132,mckittrick_tar,tar
801,0.11221486849574663,mckittrick_tar,tar
802,0.11171827712872023,mckittrick_tar,tar
803,0.11160866606995073,mckittrick_tar,tar
804,0.11190501137602987,mckittrick_tar,tar
805,0.11223638386310802,mckittrick_tar,tar
806,0.11222381260269448,mckittrick_tar,tar
807,0.11181950878779073,mckittrick_tar,tar
808,0.11130496105897042,mckittrick_tar,tar
809,0.11109193286352942,mckittrick_tar,tar
810,0.11152077124525411,mckittrick_tar,tar
811,0.11266652811828798,mckittrick_tar,tar
812,0.11421171917991296,mckittrick_tar,tar
813,0.11556353009425152,mckittrick_tar,tar
814,0.11619045602574535,mckittrick_tar,tar
815,0.11582637945037993,mckittrick_tar,tar
816,0.11434528089435597,mckittrick_tar,tar
817,0.11164079879330208,mckittrick_tar,tar
