sampled,museum,catalog_number,UCIAMS_number,taxon,genus,species,locality,ucmp_locality,side,element,collagen_present,batch,publication
TRUE,UCMP,237927,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237928,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237930,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237931,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237932,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,246139,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,248812,,,Canis,lupus,McKittrick,,,,,3,
TRUE,UCMP,248816,,,Canis,lupus,McKittrick,,,,,3,
TRUE,UCMP,248821,,,Canis,lupus,McKittrick,,,,,3,
TRUE,UCMP,248827,,,Canis,lupus,McKittrick,,,,,3,
TRUE,UCMP,248852,,,Canis,lupus,McKittrick,,,,,3,
TRUE,UCMP,248855,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,248856,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,248858,,,Canis,lupus,McKittrick,,,,,3,
TRUE,UCMP,248871,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,287288,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,299848,,,Canis,latrans,McKittrick,,,,,2,
TRUE,UCMP,299849,,,Canis,latrans,McKittrick,,,,,2,
TRUE,UCMP,236969,,Equus,Equus,,McKittrick,7139,right,radius,,1,
TRUE,UCMP,237005,280016,Equus,Equus,,McKittrick,7139,right,radius,,1,
TRUE,UCMP,237006,,Equus,Equus,,McKittrick,7139,left,radius,,1,
TRUE,UCMP,237007,,Equus,Equus,,McKittrick,7139,left,radius,,1,
TRUE,UCMP,237008,,Equus,Equus,,McKittrick,7139,right,radius,,1,
TRUE,UCMP,237009,280011,Equus,Equus,,McKittrick,7139,left,radius,,1,
TRUE,UCMP,237010,280010,Equus,Equus,,McKittrick,7139,left,radius,,1,
TRUE,UCMP,237011,,Equus,Equus,,McKittrick,7139,right,radius,,1,
TRUE,UCMP,237012,,Equus,Equus,,McKittrick,7139,left,radius,,1,
TRUE,UCMP,237013,280013,Equus,Equus,,McKittrick,7139,right,radius,,1,
TRUE,UCMP,237014,280015,Equus,Equus,,McKittrick,7139,right,radius,,1,
TRUE,UCMP,237155,,Equus,Equus,,McKittrick,7139,right,radius,,1,
TRUE,UCMP,238864,,Equus,Equus,,McKittrick,7139,right,radius,,1,
TRUE,UCMP,238865,,Equus,Equus,,McKittrick,7139,right,radius,,1,
TRUE,UCMP,239019,,Equus,Equus,,McKittrick,7139,right,radius,,1,
TRUE,UCMP,239021,,Equus,Equus,,McKittrick,7139,right,radius,,1,
TRUE,UCMP,239100,,Equus,Equus,,McKittrick,7139,right,radius,,1,
TRUE,UCMP,239101,,Equus,Equus,,McKittrick,7139,right,radius,,1,
TRUE,UCMP,239102,,Equus,Equus,,McKittrick,7139,right,radius,,1,
TRUE,UCMP,239103,,Equus,Equus,,McKittrick,7139,left,radius,,1,
TRUE,UCMP,239104,,Equus,Equus,,McKittrick,7139,left,radius,,1,
TRUE,UCMP,239105,,Equus,Equus,,McKittrick,7139,left,radius,,1,
TRUE,UCMP,239106,,Equus,Equus,,McKittrick,7139,right,radius,,1,
